Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.537974,-0.5662989,-0.07956615,-0.5767644,0.03986198,0.8269615,0.2371902,7.942699,16.32069,1000.215
0.020068645,-1.903182,-2.890134,-0.5095827,-0.5663532,0.02925082,0.8334055,-0.1599178,9.064455,16.84257,1000.215
0.040136814,-3.330445,-3.426404,-0.9395992,-0.5605721,0.03232047,0.8305672,-0.1599178,9.064455,16.84257,1000.217
0.060205460,-4.385378,-5.035213,-0.6938755,-0.5648915,0.02922577,0.8367886,-0.1525326,8.68861,16.84094,1000.217
0.080273151,-5.316202,-7.776147,-0.4481517,-0.573566,0.02435816,0.826515,-0.1525326,8.68861,16.84094,1000.215
0.100341320,-12.39046,-16.71398,-0.6324446,-0.7271094,-0.04371461,0.7026449,-0.1525326,8.68861,16.84094,1000.215
0.120409966,-13.87978,-24.69843,1.087621,-0.5535476,0.02098916,0.8481373,0.2300205,8.318083,16.45169,1000.219
0.140477657,-13.75567,-28.09481,1.947654,-0.5517531,0.0293274,0.8459448,0.2300205,8.318083,16.45169,1000.219
0.160546303,-27.71802,-43.82539,18.04256,-0.140897,-0.470081,0.8460003,0.9816513,8.325956,16.45269,1000.221
0.178105831,-22.87774,-44.95751,22.83417,-0.5194389,0.04466426,0.8365828,0.9816513,8.325956,16.45269,1000.221
0.198174477,-0.3518093,-9.265785,3.114842,-0.5223755,0.01908194,0.851366,0.9816513,8.325956,16.45269,1000.223
0.218242645,1.385728,-2.830549,1.517638,-0.5046204,0.006708528,0.8862984,2.070026,7.206582,17.29012,1000.223
0.238310337,1.075454,-1.698424,1.333345,-0.5072293,0.01579398,0.8618725,2.070026,7.206582,17.29012,1000.227
0.258378983,0.3307947,-0.3875423,0.4118813,-0.4911877,0.01655472,0.8632914,2.437807,7.587745,16.90414,1000.227
0.278447151,-0.1035897,0.02955631,0.4118813,-0.5178605,0.01174379,0.8593743,2.437807,7.587745,16.90414,1000.229
0.298515797,0.5169594,0.08914184,0.9647596,-0.5077921,-0.007037363,0.8588123,2.437807,7.587745,16.90414,1000.229
0.318583489,0.6410692,0.2083129,1.763362,-0.498519,0.01838682,0.8619155,2.070133,7.206351,17.35481,1000.232
0.338652134,0.1446299,0.565826,1.6405,-0.5142475,0.02732152,0.8631886,2.070133,7.206351,17.35481,1000.232
0.358720303,0.02052013,-0.4471279,0.8418978,-0.5291793,0.01885935,0.8576765,2.047977,8.333887,17.3597,1000.234
0.378788948,0.08257504,-2.055937,0.04329571,-0.5208505,0.01593163,0.8682165,2.047977,8.333887,17.3597,1000.234
0.398856640,0.9513437,-2.711378,0.4733122,-0.5071828,0.01331103,0.8651914,2.047977,8.333887,17.3597,1000.234
0.418924809,0.3928496,-2.41345,0.2890194,-0.5009152,0.01670486,0.8734953,0.9197731,8.323689,16.90541,1000.234
0.438993454,-0.04153477,-2.651792,-0.202428,-0.5111614,0.01810831,0.8648557,0.9197731,8.323689,16.90541,1000.238
0.459062099,0.5169594,-3.307233,-0.3252899,-0.5094747,0.005494584,0.8644955,1.302975,7.951781,16.90427,1000.238
0.479129791,1.571893,-4.320187,0.04329571,-0.5080039,0.004975913,0.8683488,1.302975,7.951781,16.90427,1000.243
0.499197960,2.626826,-6.167338,0.3504504,-0.5173959,0.01312212,0.865221,1.302975,7.951781,16.90427,1000.243
0.519266605,2.937101,-8.729515,0.9033287,-0.5051533,0.008552114,0.8606936,1.281576,9.077703,17.36196,1000.243
0.539334774,2.316552,-10.57667,1.210483,-0.5000526,0.02296887,0.8785096,1.281576,9.077703,17.36196,1000.243
0.559403419,2.502716,-10.57667,0.8418978,-0.4808897,0.01224905,0.8708811,1.687689,7.576647,17.80873,1000.246
0.579471111,2.378607,-9.74247,1.149052,-0.4854252,0.02093422,0.8701723,1.687689,7.576647,17.80873,1000.246
0.599539757,2.254497,-8.550759,0.5961741,-0.4746762,0.0185897,0.8773316,1.686283,7.579641,16.96783,1000.244
0.619607925,2.006277,-7.418634,0.9647596,-0.4841749,0.03259983,0.8724323,1.686283,7.579641,16.96783,1000.244
0.639676571,1.199563,-7.061121,0.657605,-0.4811963,0.02958058,0.8825038,1.686283,7.579641,16.96783,1000.245
0.659744263,0.1446299,-6.94195,0.7190359,-0.4694487,0.02548776,0.8779916,1.672918,8.328339,17.812,1000.245
0.679812431,-1.344688,-6.286509,-0.6938755,-0.4768474,0.03115727,0.8801126,1.672918,8.328339,17.812,1000.25
0.699881077,-1.034413,-3.843503,-1.00103,-0.4556889,0.01760095,0.8694929,2.807753,7.964303,17.81186,1000.25
0.719949245,-1.220578,-1.400496,-0.7553064,-0.4712852,0.04638146,0.8776167,2.807753,7.964303,17.81186,1000.253
0.740017891,-4.447433,-2.055937,-3.212543,-0.5052332,0.06820236,0.9049725,2.807753,7.964303,17.81186,1000.253
0.760085583,-7.736343,-5.21397,-5.915504,-0.4897797,0.02009943,0.8875922,1.678898,7.955487,16.96946,1000.252
0.780154228,-7.301959,-5.571483,-7.389847,-0.4387565,-0.004023396,0.8722162,1.678898,7.955487,16.96946,1000.252
0.800222397,-0.2897544,-0.3875423,-5.362626,-0.4140294,-0.05386295,0.8523349,1.68704,7.578029,17.42062,1000.253
0.820291042,3.43354,3.902615,-1.983925,-0.4993514,0.01122029,0.8839865,1.68704,7.578029,17.42062,1000.253
0.840359211,2.316552,-0.3875423,-0.3867208,-0.4945322,0.01406377,0.8947006,1.68704,7.578029,17.42062,1000.253
0.860426903,0.2687398,-4.796871,-0.5710136,-0.4482623,0.01107354,0.8915537,2.040701,8.709501,17.42601,1000.253
0.880495548,0.5790143,-2.353864,-0.01813522,-0.4517455,-0.01176718,0.8855985,2.040701,8.709501,17.42601,1000.257
